iter	Passed	Remaining
922	7152	596
923	7159	588
924	7166	581
925	7172	573
926	7182	565
927	7189	557
928	7198	550
929	7204	542
930	7210	534
931	7218	526
932	7224	518
933	7232	511
934	7238	503
935	7246	495
936	7252	487
937	7258	479
938	7286	473
939	7295	465
940	7303	457
941	7312	450
942	7319	442
943	7329	434
944	7337	427
945	7345	419
946	7352	411
947	7358	403
948	7366	395
949	7372	388
950	7382	380
951	7391	372
952	7398	364
953	7407	357
954	7412	349
955	7417	341
956	7423	333
957	7428	325
958	7434	317
959	7440	310
960	7446	302
961	7452	294
962	7460	286
963	7467	278
964	7475	271
965	7481	263
966	7488	255
967	7494	247
968	7500	239
969	7507	232
970	7514	224
971	7521	216
972	7527	208
973	7532	201
974	7540	193
975	7546	185
976	7554	177
977	7562	170
978	7569	162
979	7575	154
980	7581	146
981	7590	139
982	7595	131
983	7602	123
984	7607	115
985	7612	108
986	7618	100
987	7624	92
988	7629	84
989	7635	77
990	7640	69
991	7645	61
992	7651	53
993	7655	46
994	7660	38
995	7665	30
996	7669	23
997	7674	15
998	7679	7
999	7686	0
